# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M1-V2	47883.9		6.93218e+11
M1-V3	47885.1		6.91157e+11
M1-W2	48370.7		5.45085e+11
M1-W3	48371.7		5.43538e+11
M1-X2	48757		4.36321e+11
M1-X3	48757.8		4.35129e+11
M1-Y2	49068.6		3.54673e+11
M1-Y3	49069.2		3.53734e+11
M1-Z2	49323.6		2.92189e+11
M1-Z3	49324.1		2.91437e+11
M1-[2	49534.9		2.43563e+11
M1-[3	49535.4		2.4295e+11
M1-\2	49712		2.05155e+11
M1-\3	49712.4		2.04649e+11
M1-]2	49861.9		-nan
M1-]3	49862.2		1.73994e+11
M1-^2	49989.9		-nan
M1-^3	49990.1		-nan
M2-M1	402.067		5.17285e+08
M2-M4	106.307		6.00093e+06
M2-N1	23286.9		3.26148e+12
M2-N4	23163.5		3.45524e+13
M2-O1	33888.8		1.61919e+12
M2-O4	33826.7		1.66987e+13
M2-P1	39645.1		9.06953e+11
M2-P4	39610.4		9.24096e+12
M2-Q1	43108.5		5.58253e+11
M2-Q4	43087.9		5.64153e+12
M2-R1	45346.4		3.67012e+11
M2-R4	45333.8		3.68859e+12
M2-S1	46869.5		2.53174e+11
M2-S4	46861.8		2.53486e+12
M2-T1	46837.7		1.98112e+11
M2-T4	46839.8		1.82415e+12
M2-U1	47660.3		1.48156e+11
M2-U4	47661.9		1.36188e+12
M2-V1	48285.9		1.13711e+11
M2-V4	48287.2		1.04394e+12
M2-W1	48772.8		8.91865e+10
M2-W4	48773.7		8.17988e+11
M2-X1	49159		7.12478e+10
M2-X4	49159.8		6.5296e+11
M2-Y1	49470.7		5.78218e+10
M2-Y4	49471.3		5.29591e+11
M2-Z1	49725.7		4.75724e+10
M2-Z4	49726.2		4.355e+11
M2-[1	49937		3.9612e+10
M2-[4	49937.4		3.62478e+11
M2-\1	50114.1		3.3335e+10
M2-\4	50114.5		3.04935e+11
M2-]1	50264		-nan
M2-]4	50264.3		2.58972e+11
M2-^1	50391.9		-nan
M2-^4	50392.2		-nan
M3-M1	323.069		5.38325e+08
M3-M4	27.3103		20326.6
M3-M5	53.7798		932717
M3-N1	23207.9		6.64193e+12
M3-N4	23084.5		6.91809e+12
M3-N5	23095.6		4.14548e+13
M3-O1	33809.8		3.29128e+12
M3-O4	33747.7		3.33207e+12
M3-O5	33753.4		1.99979e+13
M3-P1	39566.1		1.84546e+12
M3-P4	39531.4		1.84236e+12
M3-P5	39534.7		1.10554e+13
M3-Q1	43029.5		1.13554e+12
M3-Q4	43008.9		1.12374e+12
M3-Q5	43010.9		6.74738e+12
M3-R1	45267.4		7.462e+11
M3-R4	45254.8		7.34292e+11
M3-R5	45256.2		4.41114e+12
M3-S1	46790.5		5.1457e+11
M3-S4	46782.8		5.0442e+11
M3-S5	46783.7		3.0312e+12
M3-T1	46758.7		4.02074e+11
M3-T4	46760.8		3.6288e+11
M3-T5	46761.5		2.18119e+12
M3-U1	47581.3		3.00637e+11
M3-U4	47582.9		2.7087e+11
M3-U5	47583.4		1.62838e+12
M3-V1	48206.9		2.30715e+11
M3-V4	48208.2		2.07605e+11
M3-V5	48208.6		1.24819e+12
M3-W1	48693.8		1.8094e+11
M3-W4	48694.8		1.62656e+11
M3-W5	48695.1		9.78008e+11
M3-X1	49080		1.44537e+11
M3-X4	49080.8		1.2983e+11
M3-X5	49081.1		7.80682e+11
M3-Y1	49391.7		1.17295e+11
M3-Y4	49392.3		1.05294e+11
M3-Y5	49392.5		6.33172e+11
M3-Z1	49646.7		9.64994e+10
M3-Z4	49647.2		8.65828e+10
M3-Z5	49647.4		5.20671e+11
M3-[1	49858		8.03495e+10
M3-[4	49858.4		7.20624e+10
M3-[5	49858.6		4.33364e+11
M3-\1	50035.1		6.76154e+10
M3-\4	50035.5		6.06207e+10
M3-\5	50035.6		3.64564e+11
M3-]1	50185		-nan
M3-]4	50185.3		5.14819e+10
M3-]5	50185.4		3.0961e+11
M3-^1	50312.9		-nan
M3-^4	50313.2		-nan
M3-^5	50313.3		2.65182e+11
M4-N2	23011.7		2.11957e+12
M4-N3	23044.9		2.06685e+11
M4-N6	23077.4		7.59519e+13
M4-O2	33696.4		9.10622e+11
M4-O3	33713.4		8.88935e+10
M4-O6	33731.6		2.50498e+13
M4-P2	39489.5		4.75253e+11
M4-P3	39499.3		4.63352e+10
M4-P6	39511.7		1.18244e+13
M4-Q2	42971.6		2.80752e+11
M4-Q3	42977.8		2.73789e+10
M4-Q6	42987.5		6.63195e+12
M4-R2	45220.1		1.79829e+11
M4-R3	45224.2		1.75436e+10
M4-R6	45232.6		4.11984e+12
M4-S2	46749.6		1.21897e+11
M4-S3	46752.5		1.18953e+10
M4-S6	46760		2.73821e+12
M4-T2	46731.3		8.53109e+10
M4-T3	46733.5		8.32299e+09
M4-T6	46734.2		1.92231e+12
M4-U2	47554		6.32279e+10
M4-U3	47555.6		6.16945e+09
M4-U6	47556.1		1.41084e+12
M4-V2	48179.6		4.81993e+10
M4-V3	48180.9		4.70353e+09
M4-V6	48181.3		1.0677e+12
M4-W2	48666.5		3.76053e+10
M4-W3	48667.4		3.67e+09
M4-W6	48667.8		8.28409e+11
M4-X2	49052.7		2.99167e+10
M4-X3	49053.5		2.91982e+09
M4-X6	49053.8		6.56175e+11
M4-Y2	49364.3		2.41979e+10
M4-Y3	49365		2.36179e+09
M4-Y6	49365.2		5.28906e+11
M4-Z2	49619.4		1.98543e+10
M4-Z3	49619.9		1.93791e+09
M4-Z6	49620.1		4.32746e+11
M4-[2	49830.7		1.64946e+10
