# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M3-X5	1.83925e+06		1.00828e+15
M3-Y1	1.84955e+06		3.40899e+14
M4-M2	22684.3		2.84528e+12
M4-M3	66469.7		7.00537e+12
M4-N2	895476		2.29909e+15
M4-N3	913036		1.46443e+14
M4-N6	899071		1.08733e+17
M4-O2	1.29899e+06		9.78339e+14
M4-O3	1.30775e+06		6.36148e+13
M4-O6	1.3003e+06		3.68467e+16
M4-P2	1.51772e+06		5.06225e+14
M4-P3	1.52272e+06		3.30022e+13
M4-P6	1.51834e+06		1.75535e+16
M4-Q2	1.62029e+06		8.96792e+14
M4-Q3	1.6308e+06		4.08607e+13
M4-Q6	1.63383e+06		9.88155e+15
M4-R2	1.70986e+06		5.77307e+14
M4-R3	1.71687e+06		2.63961e+13
M4-R6	1.7189e+06		6.18918e+15
M4-S2	1.77086e+06		3.94326e+14
M4-S3	1.77577e+06		1.80768e+13
M4-S6	1.77718e+06		4.15469e+15
M4-T2	1.81425e+06		2.81668e+14
M4-T3	1.81781e+06		1.2939e+13
M4-T6	1.81885e+06		2.93348e+15
M4-U2	1.84621e+06		2.0838e+14
M4-U3	1.84888e+06		9.58866e+12
M4-U6	1.84965e+06		2.15278e+15
M4-V2	1.87042e+06		1.58585e+14
M4-V3	1.87247e+06		7.30787e+12
M4-V6	1.87307e+06		1.62891e+15
M4-W2	1.8892e+06		1.23539e+14
M4-W3	1.89081e+06		5.69997e+12
M4-W6	1.89128e+06		1.26356e+15
M4-X2	1.90406e+06		9.81416e+13
M4-X3	1.90535e+06		4.53309e+12
M4-X6	1.90572e+06		1.00061e+15
M5-M3	29511.7		5.85069e+12
M5-N3	876078		1.89696e+15
M5-N6	862113		7.28209e+15
M5-N7	869998		1.11875e+17
M5-O3	1.27079e+06		8.17001e+14
M5-O6	1.26334e+06		2.32796e+15
M5-O7	1.26739e+06		3.72194e+16
M5-P3	1.48576e+06		4.25669e+14
M5-P6	1.48138e+06		1.08105e+15
M5-P7	1.48372e+06		1.76048e+16
M5-Q3	1.59384e+06		4.60395e+14
M5-Q6	1.59687e+06		6.00179e+14
M5-Q7	1.59833e+06		9.87632e+15
M5-R3	1.67992e+06		2.97157e+14
M5-R6	1.68194e+06		3.72536e+14
M5-R7	1.68292e+06		6.17371e+15
M5-S3	1.73881e+06		2.03394e+14
M5-S6	1.74023e+06		2.48579e+14
M5-S7	1.74092e+06		4.13921e+15
M5-T3	1.78086e+06		1.45539e+14
M5-T6	1.78189e+06		1.74775e+14
M5-T7	1.78239e+06		2.92018e+15
M5-U3	1.81192e+06		1.07833e+14
M5-U6	1.8127e+06		1.27868e+14
M5-U7	1.81307e+06		2.14184e+15
M5-V3	1.83551e+06		8.21726e+13
M5-V6	1.83611e+06		9.65291e+13
M5-V7	1.8364e+06		1.62e+15
M5-W3	1.85385e+06		6.40872e+13
M5-W6	1.85432e+06		7.47453e+13
M5-W7	1.85455e+06		1.2563e+15
M5-X3	1.86839e+06		5.09646e+13
M5-X6	1.86876e+06		5.91078e+13
M5-X7	1.86895e+06		9.94667e+14
N1-O2	257228		7.86876e+15
N1-O3	265995		7.87826e+15
N1-P2	475966		3.25055e+15
N1-P3	480964		3.45091e+15
N1-Q2	578530		1.0523e+15
N1-Q3	589045		1.69137e+15
N1-R2	668107		6.18622e+14
N1-R3	675118		1.0505e+15
N1-S2	729104		3.99701e+14
N1-S3	734009		7.0276e+14
