# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M1-O3	7133.02		4.35252e+11
M1-P2	8355.83		2.53267e+11
M1-P3	8356.28		2.52837e+11
M1-Q2	9090.29		1.58774e+11
M1-Q3	9090.57		1.58553e+11
M1-R2	9563.13		1.05272e+11
M1-R3	9563.31		1.05157e+11
M1-S2	9883.08		7.2732e+10
M1-S3	9883.2		7.26687e+10
M1-T2	9794.47		5.30432e+10
M1-T3	9794.56		5.30062e+10
M1-U2	9968.63		3.98641e+10
M1-U3	9968.71		3.98405e+10
M1-V2	10101.1		3.07109e+10
M1-V3	10101.2		3.0695e+10
M1-W2	10204.2		2.41574e+10
M1-W3	10204.2		2.41463e+10
M1-X2	10286		1.9343e+10
M1-X3	10286		1.93349e+10
M1-Y2	10352		1.57272e+10
M1-Y3	10352		1.57211e+10
M1-Z2	10406		1.29592e+10
M1-Z3	10406		1.29545e+10
M1-[2	10450.7		1.08043e+10
M1-[3	10450.8		1.08006e+10
M1-\2	10488.2		9.10185e+09
M1-\3	10488.3		9.09891e+09
M1-]2	10520		-nan
M1-]3	10520		7.73668e+09
M1-^2	10547.1		-nan
M1-^3	10547.1		-nan
M2-M1	7.81182		18081.7
M2-M4	7.70686		10869.5
M2-N1	4885.73		1.61144e+11
M2-N4	4885.91		1.55706e+12
M2-O1	7141.58		7.94009e+10
M2-O4	7142		7.50457e+11
M2-P1	8364.39		4.43339e+10
M2-P4	8365.02		4.145e+11
M2-Q1	9098.43		2.71954e+10
M2-Q4	9099.23		2.52367e+11
M2-R1	9571.02		1.77921e+10
M2-R4	9571.96		1.64286e+11
M2-S1	9890.82		1.21847e+10
M2-S4	9891.85		1.12124e+11
M2-T1	9802.28		8.86068e+09
M2-T4	9802.38		8.10565e+10
M2-U1	9976.45		6.62757e+09
M2-U4	9976.52		6.05195e+10
M2-V1	10108.9		5.08746e+09
M2-V4	10109		4.63932e+10
M2-W1	10212		3.99068e+09
M2-W4	10212		3.63535e+10
M2-X1	10293.8		3.18831e+09
M2-X4	10293.8		2.90203e+10
M2-Y1	10359.8		2.58771e+09
M2-Y4	10359.8		2.3538e+10
M2-Z1	10413.8		2.12916e+09
M2-Z4	10413.8		1.93566e+10
M2-[1	10458.5		1.77298e+09
M2-[4	10458.6		1.61114e+10
M2-\1	10496.1		1.49211e+09
M2-\4	10496.1		1.3554e+10
M2-]1	10527.8		-nan
M2-]4	10527.8		1.15112e+10
M2-^1	10554.9		-nan
M2-^4	10554.9		-nan
M3-M1	4.23348		5759.3
M3-M4	4.12851		334.107
M3-M5	5.31825		4286.49
M3-N1	4882.15		3.23465e+11
M3-N4	4882.33		3.11485e+11
M3-N5	4882.83		1.86839e+12
M3-O1	7138		1.59273e+11
M3-O4	7138.42		1.50004e+11
M3-O5	7138.68		9.00204e+11
M3-P1	8360.81		8.90332e+10
M3-P4	8361.44		8.28648e+10
M3-P5	8361.59		4.96988e+11
M3-Q1	9094.86		5.46026e+10
M3-Q4	9095.66		5.04356e+10
M3-Q5	9095.75		3.02597e+11
M3-R1	9567.45		3.57103e+10
M3-R4	9568.38		3.28241e+10
M3-R5	9568.44		1.96996e+11
M3-S1	9887.24		2.44491e+10
M3-S4	9888.27		2.23986e+10
M3-S5	9888.31		1.34454e+11
M3-T1	9798.7		1.77751e+10
M3-T4	9798.8		1.61902e+10
M3-T5	9798.83		9.72003e+10
M3-U1	9972.87		1.32936e+10
M3-U4	9972.94		1.20873e+10
M3-U5	9972.96		7.25739e+10
M3-V1	10105.3		1.02035e+10
M3-V4	10105.4		9.26551e+09
M3-V5	10105.4		5.56342e+10
M3-W1	10208.4		8.00322e+09
M3-W4	10208.5		7.26018e+09
M3-W5	10208.5		4.35948e+10
M3-X1	10290.2		6.39376e+09
M3-X4	10290.2		5.79553e+09
M3-X5	10290.3		3.48009e+10
M3-Y1	10356.2		5.18913e+09
M3-Y4	10356.2		4.7006e+09
M3-Y5	10356.2		2.82266e+10
M3-Z1	10410.2		4.26947e+09
M3-Z4	10410.2		3.8655e+09
M3-Z5	10410.2		2.32122e+10
M3-[1	10455		3.55517e+09
M3-[4	10455		3.2174e+09
M3-[5	10455		1.93205e+10
M3-\1	10492.5		2.9919e+09
M3-\4	10492.5		2.70667e+09
M3-\5	10492.5		1.62537e+10
M3-]1	10524.2		-nan
M3-]4	10524.2		2.29872e+09
M3-]5	10524.2		1.38039e+10
M3-^1	10551.3		-nan
M3-^4	10551.3		-nan
M3-^5	10551.3		1.18234e+10
M4-N2	4874.83		9.33447e+10
M4-N3	4876.34		9.28369e+09
M4-N6	4879.78		3.41913e+12
M4-O2	7132.36		4.01107e+10
M4-O3	7133.13		3.9913e+09
M4-O6	7135.44		1.12605e+12
M4-P2	8355.94		2.09134e+10
M4-P3	8356.38		2.07846e+09
M4-P6	8358.37		5.30822e+11
M4-Q2	9090.4		1.2327e+10
M4-Q3	9090.68		1.22543e+09
M4-Q6	9092.6		2.9705e+11
